date,usdinr,oil,dxy,vix,us10y
2015-01-01,63.02799987792969,56.41999816894531,91.08000183105469,17.790000915527344,2.122999906539917
2015-01-02,63.02799987792969,56.41999816894531,91.08000183105469,17.790000915527344,2.122999906539917
2015-01-03,63.02799987792969,56.41999816894531,91.08000183105469,17.790000915527344,2.122999906539917
2015-01-04,63.02799987792969,56.41999816894531,91.08000183105469,17.790000915527344,2.122999906539917
2015-01-05,63.27799987792969,53.11000061035156,91.37999725341797,19.920000076293945,2.0390000343322754
2015-01-06,63.3380012512207,51.099998474121094,91.5,21.1200008392334,1.9630000591278076
2015-01-07,63.56800079345703,51.150001525878906,91.88999938964844,19.309999465942383,1.9539999961853027
2015-01-08,63.27299880981445,50.959999084472656,92.37000274658203,17.010000228881836,2.0160000324249268
2015-01-09,62.667999267578125,50.11000061035156,91.94000244140625,17.549999237060547,1.9709999561309814
2015-01-10,62.667999267578125,50.11000061035156,91.94000244140625,17.549999237060547,1.9709999561309814
2015-01-11,62.667999267578125,50.11000061035156,91.94000244140625,17.549999237060547,1.9709999561309814
2015-01-12,62.347999572753906,47.43000030517578,91.9800033569336,19.600000381469727,1.9119999408721924
2015-01-13,62.06800079345703,46.59000015258789,92.30999755859375,20.559999465942383,1.8899999856948853
2015-01-14,61.972999572753906,48.689998626708984,92.16000366210938,21.479999542236328,1.8370000123977661
2015-01-15,62.0880012512207,47.66999816894531,92.3499984741211,22.389999389648438,1.774999976158142
2015-01-16,62.05799865722656,47.689998626708984,92.5199966430664,20.950000762939453,1.815000057220459
2015-01-17,62.05799865722656,47.689998626708984,92.5199966430664,20.950000762939453,1.815000057220459
2015-01-18,62.05799865722656,47.689998626708984,92.5199966430664,20.950000762939453,1.815000057220459
2015-01-19,61.862998962402344,47.689998626708984,92.5199966430664,20.950000762939453,1.815000057220459
2015-01-20,61.63800048828125,47.9900016784668,93.05000305175781,19.889999389648438,1.8070000410079956
2015-01-21,61.64799880981445,49.029998779296875,92.9000015258789,18.850000381469727,1.8530000448226929
2015-01-22,61.553001403808594,48.52000045776367,94.23999786376953,16.399999618530273,1.8960000276565552
2015-01-23,61.597999572753906,48.790000915527344,95.0,16.65999984741211,1.8170000314712524
2015-01-24,61.597999572753906,48.790000915527344,95.0,16.65999984741211,1.8170000314712524
2015-01-25,61.597999572753906,48.790000915527344,95.0,16.65999984741211,1.8170000314712524
2015-01-26,61.43299865722656,48.15999984741211,94.80000305175781,15.520000457763672,1.8279999494552612
2015-01-27,61.472999572753906,49.599998474121094,94.0199966430664,17.219999313354492,1.8250000476837158
2015-01-28,61.40299987792969,48.470001220703125,94.47000122070312,20.440000534057617,1.7239999771118164
2015-01-29,61.35100173950195,49.130001068115234,94.77999877929688,18.760000228881836,1.7510000467300415
2015-01-30,61.79600143432617,52.9900016784668,94.80000305175781,20.969999313354492,1.6749999523162842
2015-01-31,61.79600143432617,52.9900016784668,94.80000305175781,20.969999313354492,1.6749999523162842
2015-02-01,61.79600143432617,52.9900016784668,94.80000305175781,20.969999313354492,1.6749999523162842
2015-02-02,62.01300048828125,54.75,94.5,19.43000030517578,1.6729999780654907
2015-02-03,61.72800064086914,57.90999984741211,93.5999984741211,17.329999923706055,1.7799999713897705
2015-02-04,61.61399841308594,54.15999984741211,93.98999786376953,18.329999923706055,1.7970000505447388
2015-02-05,61.86000061035156,56.56999969482422,94.69999694824219,16.850000381469727,1.815000057220459
2015-02-06,61.733001708984375,57.79999923706055,94.69999694824219,17.290000915527344,1.937999963760376
2015-02-07,61.733001708984375,57.79999923706055,94.69999694824219,17.290000915527344,1.937999963760376
2015-02-08,61.733001708984375,57.79999923706055,94.69999694824219,17.290000915527344,1.937999963760376
2015-02-09,61.9630012512207,58.34000015258789,94.44999694824219,18.549999237060547,1.9479999542236328
2015-02-10,62.130001068115234,56.43000030517578,94.76000213623047,17.229999542236328,1.9910000562667847
2015-02-11,62.34199905395508,54.65999984741211,94.98999786376953,16.959999084472656,1.9880000352859497
2015-02-12,62.38199996948242,57.04999923706055,94.08999633789062,15.34000015258789,1.9859999418258667
2015-02-13,62.16999816894531,57.38999938964844,94.19999694824219,14.6899995803833,2.0209999084472656
2015-02-14,62.16999816894531,57.38999938964844,94.19999694824219,14.6899995803833,2.0209999084472656
2015-02-15,62.16999816894531,57.38999938964844,94.19999694824219,14.6899995803833,2.0209999084472656
2015-02-16,62.069000244140625,57.38999938964844,94.19999694824219,14.6899995803833,2.0209999084472656
2015-02-17,62.18600082397461,62.529998779296875,94.05999755859375,15.800000190734863,2.1449999809265137
2015-02-18,62.11199951171875,60.529998779296875,94.19999694824219,15.449999809265137,2.065999984741211
2015-02-19,62.07400131225586,60.209999084472656,94.4000015258789,15.289999961853027,2.11299991607666
2015-02-20,62.165000915527344,60.220001220703125,94.25,14.300000190734863,2.132999897003174
2015-02-21,62.165000915527344,60.220001220703125,94.25,14.300000190734863,2.132999897003174
2015-02-22,62.165000915527344,60.220001220703125,94.25,14.300000190734863,2.132999897003174
2015-02-23,62.10100173950195,58.900001525878906,94.56999969482422,14.5600004196167,2.059000015258789
2015-02-24,62.17100143432617,58.65999984741211,94.48999786376953,13.6899995803833,1.9880000352859497
2015-02-25,62.233001708984375,61.630001068115234,94.20999908447266,13.84000015258789,1.968999981880188
2015-02-26,61.87699890136719,60.04999923706055,95.29000091552734,13.90999984741211,2.0160000324249268
2015-02-27,61.75400161743164,62.58000183105469,95.25,13.34000015258789,2.002000093460083
2015-02-28,61.75400161743164,62.58000183105469,95.25,13.34000015258789,2.002000093460083
